"TweetID (S)","bot_score (N)","created_at (S)","favorite_count (N)","followers (N)","following (N)","lang (S)","location (S)","reply_count (N)","retweet_count (N)","retweeted_status (NULL)","sentiment (S)","sentiment_score (N)","text (S)","topic (L)","user_type (S)","username (S)"
"1106705761118445568","0.07651310672792835","2019-03-15 23:56:29","0","680","1038","en","West Chester, PA","0","0","true","Neutral","0","YAAAAAAA","[]","Human","bmo0requeer"
"1106802954160398337","0.11956986651967942","2019-03-16 06:22:42","0","4047","2610","ja","Tokyo,Japan","0","0","true","Negative","-0.8999999761581421","思想や主義主張はともかく、イカサマ医療本は人の命をダイレクトに脅かすので、日本でも同じようにしてほしいくらい。出版の自由はあるとはいえ、イカサマ医療本は詐欺罪に問われないのだろうか？","[]","Human","radioya"
"1106686409551810561","0.300816711527256","2019-03-15 22:39:35","0","7228","1644","en","Washington, DC","0","0","true","Neutral","-0.20000000298023224","Ohhh my..Another reason to stop buying from Amazon.","abortion","Human","anhusa"
"1106688764888449024","0.08899515596679244","2019-03-15 22:48:57","0","130","112","en","true","0","0","true","Negative","-0.4000000059604645","No","abortion","Human","Mr_PushaMan"
"1106691788943835137","0.027614042942260764","2019-03-15 23:00:58","0","113","124","en","Brooklyn, NY","0","0","true","Neutral","0.10000000149011612","can:... New York... be next...?","abortion","Human","sandraamaeee"
"1106745095485718528","0.041106740219567735","2019-03-16 02:32:47","0","975","990","en","Oakland, CA","0","0","true","Neutral","0.10000000149011612","Y’all know snoop exist right ?","abortion","Human","iamjuuprince"
"1106784602839019521","0.7855076010068447","2019-03-16 05:09:47","0","705","803","en","Mamou, LA","0","0","true","Neutral","0.20000000298023224","🙏🏻🙏🏻 https://t.co/DWDpKfwqnZ","abortion","Bot","therealeminent"
"1106841381039943682","0.11116719108518804","2019-03-16 08:55:24","0","97","38","en","Federal Capital Territory, Nig","0","0","true","Positive","0.5","Nigga u got this revelation while smoking right","abortion","Human","PVakporaye"
"1106674581253877760","0.06078011352084069","2019-03-15 21:52:35","0","549","417","en","NEW JERSEY","0","0","true","Positive","0.699999988079071","I just cried from happiness.","aids","Human","bianca2turnt"
"1106682739342934017","0.8762045479593887","2019-03-15 22:25:00","0","193403","148073","en","🔥🔗 Post Malone Shirts ⤵️","0","0","true","Negative","-0.800000011920929","No AIDS🚫
No Chlamydia🚫
No Crabs🚫
No Trichomoniasis🚫
No Gonorrhea🚫
No Hepatitis B🚫
No Herpes🚫
No HIV🚫
No Syphilis🚫
R… https://t.co/HUOyqJhIVV","aids","Bot","lmPosttMalone"
"1106710571334930432","0.1701324265302999","2019-03-16 00:15:36","0","104","128","en","true","0","0","true","Neutral","0","@Buttercupunicon @ErieMom @LadyShansa @Taliafe56564125 @_CG_ToyGal @WildHorses7781 @runaluck @sander1957… https://t.co/de5ruqM2Dh","aids","Human","mick719"
"1106752835344105473","0.15881746424200632","2019-03-16 03:03:33","0","2314","3308","en","true","0","0","true","Neutral","0","Sadistic Scott Lloyd.
#LockHimUp","aids","Human","slvrfnx"
"1106859912490086400","0.3551862170861128","2019-03-16 10:09:02","0","330","160","en","England, United Kingdom","0","0","true","Neutral","0.10000000149011612","Eps 119. The HIV and Aids Conspiracy https://t.co/5HbrVrD87o","aids","Human","robotsforeyes"
"1106679241150787585","0.19466773728450495","2019-03-15 22:11:06","0","68","221","en","Brooklyn, NY","0","0","true","Negative","-0.800000011920929","@morganhousel @RampCapitalLLC Stop believing that vaccines cause autism.","ecig","Human","matthewhprince"
"1106680401542766592","0.11956986651967942","2019-03-15 22:15:43","0","229","265","en","true","0","0","true","Neutral","0","16 Things To Know About NJ Legal Marijuana Bill Before Its Law https://t.co/PSgfoElArR","ecig","Human","Red_Rebel_01"
"1106690371398987776","0.8669901931103381","2019-03-15 22:55:20","0","22769","21246","en","Fighter🔝🔫Town, U.S.A.🇺🇸","0","0","true","Neutral","0","#TrueMAGA〽️🦅
BAYOR DIVISION ‘KNOWINGLY SOLD’ HIV-INFECTED PROTEIN:

In July 1982, haemophiliacs were becoming ill f… https://t.co/0q6WyvjipV","ecig","Bot","HotShot_78"
"1106695057380466689","0.11116719108518804","2019-03-15 23:13:57","0","9783","1820","en","Austin, Texas","0","0","true","Positive","0.5","22 great reasons to attend SXSW Conference programming on Sat, March 16. Some great panels and presentations coveri… https://t.co/qrZ5bOq8ca","ecig","Human","Hugh_W_Forrest"
"1106698343596650502","0.11116719108518804","2019-03-15 23:27:01","0","532","2132","en","true","0","0","true","Neutral","0","@mitchellvii @AOC You being born is the best argument to keep #abortion legal #AOC","ecig","Human","KwizDaHaderach"
"1106706865117904896","0.300816711527256","2019-03-16 00:00:52","0","3587","5001","en","United States","0","0","true","Negative","-0.30000001192092896","""If our country is to stand resolute in its fight against drugs, the legalization of marijuana is counterintuitive… https://t.co/IQKFD8iahQ","ecig","Human","DoNotGiveUpHope"
"1106709040879419392","0.07651310672792835","2019-03-16 00:09:31","0","4192","2907","en","Seattle, WA","0","0","true","Negative","-0.30000001192092896","Vice taxes like tobacco taxes are extremely regressive, hurting the poor more than the rich. https://t.co/PmUlF4CF3q","ecig","Human","eoionline"
"1106713196193333248","0.393746460000491","2019-03-16 00:26:02","0","226","172","fr","Saint-Hubert, Québec, Canada","0","0","true","Neutral","-0.10000000149011612","Ça ne rigole plus sur les planches montréalaise... Une autre amende pour une «fausse» cigarette fumée sur scène !… https://t.co/ZnFb3g8pSF","ecig","Human","christophecouet"
"1106721527893032960","0.23633691139538376","2019-03-16 00:59:08","0","1439","0","en","true","0","0","true","Positive","0.4000000059604645","The car cigarette lighter transitioning to the car mobile phone/electronic device charging port is one of the great… https://t.co/flK7u6Eo6z","ecig","Human","ShowerThoughtz1"
"1106726202650361857","0.021699646312393697","2019-03-16 01:17:43","0","1038","822","en","MIA","0","0","true","Neutral","0.10000000149011612","Welp time to go home","ecig","Human","mczx3"
"1106730793265565696","0.7081126267613624","2019-03-16 01:35:57","0","3308","1414","en","South Africa","0","0","true","Positive","0.4000000059604645","Cannabis Legalization Buzz Is a Smokescreen Masking Apartheid’s Legitimization https://t.co/NndpbFIkBG","ecig","Bot","DaggaMagazine"
"1106740569617907712","0.6729387518017023","2019-03-16 02:14:48","0","16172","2282","en","San Francisco","0","0","true","Positive","0.30000001192092896","More research needed ahead of pot legalization https://t.co/bYO0M1m5Nf https://t.co/EJnSXty3Ys","ecig","Bot","iStrainGuide"
"1106757008512843776","0.7248402160410153","2019-03-16 03:20:08","0","0","20","en","Albuquerque, NM","0","0","true","Neutral","0.10000000149011612","OlProspects dim for NM marijuana legalization bill https://t.co/VDHiZNCC9H #abq via @abqjournal","ecig","Bot","Robyn67906544"
"1106758342008098817","0.393746460000491","2019-03-16 03:25:25","0","542","226","en","Sky Lake, FL","0","0","true","Positive","0.5","This is amazing.  The fight for #LEGALIZATION #LegalizeAcrossAll50 continues on...","ecig","Human","BearBthe"
"1106762901367341056","0.06078011352084069","2019-03-16 03:43:33","0","365","491","en","California, USA","0","0","true","Negative","-0.30000001192092896","@AJEnglish 3/19 Rally 9a Sacto Capitol 10 &amp; L💋  I hate to run 4 President. ☀️The only reason I am running is bece n… https://t.co/CI3BmoUhqT","ecig","Human","paul_kangas"
"1106765287519649793","0.04447883217419818","2019-03-16 03:53:01","0","906","579","en","919 ✈️ 918","0","0","true","Positive","0.30000001192092896","Medical Marijuana is legal here I just........🤧","ecig","Human","sneaksRus"
"1106767827682365442","0.7713044789889335","2019-03-16 04:03:07","0","1346","1865","en","true","0","0","true","Neutral","0.10000000149011612","Toxic Levels Of Lead And Other Metals Found In E-Cigarette Vapor - 
Don't believe the propaganda hype!… https://t.co/UnLT0RM5Rd","ecig","Bot","smokerslogicksm"
