"TweetId (S)","URL (S)","topic (S)","type (S)","user_type (S)"
"1106349928480153600","https://www.cnbc.com/2019/01/02/i-bought-my-cigarette-smoking-dad-a-juul-heres-what-happened.html?__source=twitter%7Cmain","weed","News","Bot"
"1106351781561413634","http://www.skepticalraptor.com/skepticalraptorblog.php/final-nail-coffin-vaccine-autism-myth/","weed","None Found","Human"
"1106351823416446976","https://cannaessence.ca/cbd-mct-oil/?v=7516fd43adaa","abortion","None Found","Bot"
"1106352284513067009","https://qz.com/1571562/marijuana-legalization-in-new-york-may-not-pass-without-racial-equity-measures/","weed","News","Human"
"1106353209365295104","https://cannabislifenetwork.com/first-ever-legal-cannabis-lounge-coming-to-torontos-craft-beer-festival/","weed","None Found","Human"
"1106354298114301952","https://www.iflscience.com/policy/a-huge-marijuana-legalization-bill-is-back-on-the-cards-in-congress/","weed","None Found","Bot"
"1106362134076653568","http://www.naijaloaded.com.ng/news/no-need-yet-to-celebrate-hiv-aids-free-nigeria-says-buhari?utm_source=dlvr.it&utm_medium=twitter","weed","None Found","Human"
"1106362494413623297","https://www.cannabisculture.com/content/2019/03/14/hello-cannabis-hamilton-gets-a-second-legal-pot-shop/","weed","None Found","Bot"
"1106365370116571136","https://www.foxnews.com/opinion/dont-be-fooled-marijuana-legalization-is-not-about-advancing-social-justice","ecig","News","Human"
"1106366703884210178","https://www.usatoday.com/story/news/health/2019/03/05/hiv-cure-london-patient-aids-treatment/3063749002/","ecig","News","Human"
"1106375992627679237","https://www.stuff.co.nz/national/111300826/city-bans-smoking-in-public-places-holds-off-on-vaping","ecig","None Found","Human"
"1106378138718752768","https://www.liveaction.org/news/six-pro-life-women-opposed-abortion/","weed","None Found","Bot"
"1106379999060414465","https://www.foxnews.com/opinion/dont-be-fooled-marijuana-legalization-is-not-about-advancing-social-justice","weed","News","Human"
"1106381678635737088","https://jabar.pojoksatu.id/bogor/2019/03/15/ribuan-kasus-hiv-aids-terjadi-di-kota-bogor-sejak-2005-bukan-hoax-cek-faktanya-di-sini/Pojokjabar","ecig","None Found","Human"
